Title,Description,HTML,Content
"Coastal Habitat Maps along Illinois Beach State Park, derived from aerial and drone imagery, 1939-2020","These habitat maps were created to identify and monitor coastal change along Illinois' Lake Michigan shoreline at Illinois Beach State Park. Habitat maps are provided for four study sites which the ISGS has monitored monthly since 2018 using drones.
 
The initial habitat boundaries are from the Illinois Natural Areas Inventory (INAI), provided in August 2018 by the Illinois Department of Natural Resources, Illinois Nature Preserves Commission, Illinois Endangered Species Protection Board, and the Natural Heritage Database. The INAI habitat surveys were conducted in 1976 for Sites 1-3; surveys for Site 4 were conducted between 2008-2011. The eastern bounds of the habitat maps, defined as the contact between vegetated habitat and Lake Michigan beach sediment, were digitized from historical aerial images (1939-2017) and modern drone images (2018-2020). The modern images were collected using an unoccupied aerial system (UAS) flown at Illinois Beach State Park under contract for the Illinois Department of Natural Resources Coastal Management Program. The historical aerial images were sourced from the Lake County, Illinois, Planning, Building, and Development Department.
 
The data is georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. All activities were conducted according to Federal Aviation Administration regulations and under the Illinois Natures Preserve Commissions permit and Illinois Department of Natural Resources permission.",none,"DataSummaryThese habitat maps were created to identify and monitor coastal change along Illinois' Lake Michigan shoreline at Illinois Beach State Park. Habitat maps are provided for four study sites which the ISGS has monitored monthly since 2018 using drones.
 
The initial habitat boundaries are from the Illinois Natural Areas Inventory (INAI), provided in August 2018 by the Illinois Department of Natural Resources, Illinois Nature Preserves Commission, Illinois Endangered Species Protection Board, and the Natural Heritage Database. The INAI habitat surveys were conducted in 1976 for Sites 1-3; surveys for Site 4 were conducted between 2008-2011. The eastern bounds of the habitat maps, defined as the contact between vegetated habitat and Lake Michigan beach sediment, were digitized from historical aerial images (1939-2017) and modern drone images (2018-2020). The modern images were collected using an unoccupied aerial system (UAS) flown at Illinois Beach State Park under contract for the Illinois Department of Natural Resources Coastal Management Program. The historical aerial images were sourced from the Lake County, Illinois, Planning, Building, and Development Department.
 
The data is georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. All activities were conducted according to Federal Aviation Administration regulations and under the Illinois Natures Preserve Commissions permit and Illinois Department of Natural Resources permission.


DataHabitat maps were created at 4 sites at Illinois Beach State Park at both decadal (1939-2017) and monthly (2018-2020) time-scales. The habitat maps are presented in a geodatabase with an associated .xml file containing FGDC-compliant metadata. 
Download a .csv file of survey dates here.
Download the habitat maps here."
"Orthomosaic, digital elevation model, and point cloud derived from unoccupied aerial system (UAS) imagery, Illinois Beach State Park","These unoccupied aerial system (UAS, aka drone) data were collected to identify and monitor coastal change along the Lake Michigan shoreline. The orthomosaic, digital elevation model, and point cloud were derived from aerial images collected using a UAS flown at Illinois Beach State Park under contract for the Illinois Department of Natural Resources Coastal Management Program. The orthomosaic and digital elevation model are products of a bare earth classified point cloud. The data are georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. The digital aerial images were acquired with a DJI Phantom 4 Pro 12-megapixel camera small unoccupied aerial system. Photogrammetry software with RTK-GPS acquired ground control and check points provided X, Y, and Z accuracy defined in the metadata documents and in the accompanying reports. All activities were conducted according to Federal Aviation Administration regulations and under the Illinois Natures Preserve Commission permit and Illinois Department of Natural Resources permission.",none,"DataSummaryThese unoccupied aerial system (UAS, aka drone) data were collected to identify and monitor coastal change along the Lake Michigan shoreline. The orthomosaic, digital elevation model, and point cloud were derived from aerial images collected using a UAS flown at Illinois Beach State Park under contract for the Illinois Department of Natural Resources Coastal Management Program. The orthomosaic and digital elevation model are products of a bare earth classified point cloud. The data are georeferenced to NAD83(1986) UTM Zone 16 North meters and vertical coordinates in NAVD88 meters. The digital aerial images were acquired with a DJI Phantom 4 Pro 12-megapixel camera small unoccupied aerial system. Photogrammetry software with RTK-GPS acquired ground control and check points provided X, Y, and Z accuracy defined in the metadata documents and in the accompanying reports. All activities were conducted according to Federal Aviation Administration regulations and under the Illinois Natures Preserve Commission permit and Illinois Department of Natural Resources permission.


DataUAS data, consisting of orthomosaics, digitial elevation models, and point clouds, were collected at 8 sites at Illinois Beach State Park at monthly, seasonal, and annual time-scales from April 2018 to present. Each dataset has an associated .xml file containing FGDC-compliant metadata. These data have been collated in different bins for ease of download.
Survey dates are listed in SurveyDates.csv
All the UAS data at all sites and all times is here:

All UAS Data


All_UAS_data.zip


All_UAS_data_footprints.zip

 
Data are also presented by site, containing all surveys conducted at each site:

Site 1


Site_1.zip


Site_1_footprints.zip


Site 2


Site_2.zip


Site_2_footprints.zip


Site 3


Site_3.zip


Site_3_footprint.zip


Site 4


Site_4.zip


Site_4_footprint.zip


Site 5


Site_5.zip


Site_5_footprint.zip


Site 6


Site_6.zip


Site_6_footprint.zip


Swimming Beach


Park_Office.zip


Park_Office_footprint.zip


Park Office


Swimming_Beach.zip


Swimming_Beach_footprint.zip

 
Finally, data are presented seasonally, with all data collected at all sites within these time-frames:

January-March


Seasonal_Jan_March.zip


April-June


Seasonal_April_June.zip


July-September


Seasonal_July_Sept.zip


October-December


Seasonal_Oct_Dec.zip"
"Shoreline polylines at Illinois Beach State Park, digitized from drone imagery, 2018-2021","Shorelines, defined as the wet/dry line, were digitized at 1:250 scale from modern aerial orthomosaics at four study sites at Illinois Beach State Park between 2018 and 2021 as part of an effort to monitor coastal change. The aerial images were collected using an unoccupied aerial system (UAS) flown at Illinois Beach State Park under contract with the Illinois Department of Natural Resources Coastal Management Program.
 
 
Data are georeferenced to NAD83(1986) UTM Zone 16 North meters. All activities were conducted in adherence to Federal Aviation Administration regulations, permitted by the Illinois Natures Preserve Commissions and the Illinois Department of Natural Resources.",none,"DataSummaryShorelines, defined as the wet/dry line, were digitized at 1:250 scale from modern aerial orthomosaics at four study sites at Illinois Beach State Park between 2018 and 2021 as part of an effort to monitor coastal change. The aerial images were collected using an unoccupied aerial system (UAS) flown at Illinois Beach State Park under contract with the Illinois Department of Natural Resources Coastal Management Program.
 
 
Data are georeferenced to NAD83(1986) UTM Zone 16 North meters. All activities were conducted in adherence to Federal Aviation Administration regulations, permitted by the Illinois Natures Preserve Commissions and the Illinois Department of Natural Resources.


DataShoreline polylines were created at 4 sites at Illinois Beach State Park at monthly time-scales from July 2018 to January 2021. The shorelines are presented in a geodatabase with an associated .xml file containing FGDC-compliant metadata. 
Download a .csv file of survey dates here.
Download the shorelines here."
"Singlebeam bathymetry, Illinois Beach State Park","Singlebeam echosounder data were collected in the nearshore of Illinois Beach State Park in Zion, IL. These data were collected under contract for the Illinois Department of Natural Resources Coastal Management Program. The areas targeted for bathymetric measurements are paired with areas targeted for UAS (unoccupied aerial system) onshore photographic measurements. Data is collected at different spatial scales: 500-m wide transects cover the entire park, while smaller subsites (paired with UAS sites) were surveyed with 100, 50, and 25-m wide transects. The bathymetric data were collected as part of a multi-year monitoring program to detect and measure lake-bottom change as it related to erosion of the lake bottom and longshore and offshore sand movement or transport.",none,"DataSummarySinglebeam echosounder data were collected in the nearshore of Illinois Beach State Park in Zion, IL. These data were collected under contract for the Illinois Department of Natural Resources Coastal Management Program. The areas targeted for bathymetric measurements are paired with areas targeted for UAS (unoccupied aerial system) onshore photographic measurements. Data is collected at different spatial scales: 500-m wide transects cover the entire park, while smaller subsites (paired with UAS sites) were surveyed with 100, 50, and 25-m wide transects. The bathymetric data were collected as part of a multi-year monitoring program to detect and measure lake-bottom change as it related to erosion of the lake bottom and longshore and offshore sand movement or transport.


DataSingle-beam bathymetry data, presented as point shapefiles, were collected along the shore of Illinois Beach State Park at a variety of spatial scales. Each dataset has an associated .xml file containing FGDC-compliant metadata. 
Survey dates are listed in BathySurveyDates.csv
Download all bathymetry data here."
Illinois Height Modernization (ILHMP): LiDAR Data,"***New****  Download LiDAR Data thru our new Web Application Viewer.  The Viewer allows users to zoom into an area of interest and then simply select LAS tiles to download.  ***** 
Historically, Digital Elevation Model (DEM) data for Illinois have been mainly based on 5- to 10-foot contour data. Large-scale, digital topographic maps are most common; many data resources contain elevation information acquired in the 1920s and 1930s. DEM data collections are now being developed based on data with a contour resolution of 2 feet to 6 inches. A comparison between older data and newer high-resolution data shows remarkable improvement in recorded detail.
ILHMP has established data sharing agreements to archive and distribute elevation data for select Illinois counties. Data have been acquired using Light Detection And Ranging (LiDAR) technology, in compliance with different contract specifications. Data are offered as originally deliver LAS tile or as the derivative product of DEM/DTM or DSM.
Some helpful links:
*LiDAR Glossary from the Applied Geomatics Research Group http://agrg.cogs.nscc.ca/resources/lidar-glossary/
LAS file format Spec Version is ---- Version 1.2, November 2014 http://pubs.usgs.gov/tm/11b4/
Status:
Lidar Status for Illinois (pdf)
Illinois LiDAR Plan 2021 (pdf)
Illinois Lidar Acquisition By Year (pdf)",https://univofillinois.maps.arcgis.com/apps/webappviewer/index.html?id=44eb65c92c944f3e8b231eb1e2814f4d,"DataSummary***New****  Download LiDAR Data thru our new Web Application Viewer.  The Viewer allows users to zoom into an area of interest and then simply select LAS tiles to download.  ***** 
Historically, Digital Elevation Model (DEM) data for Illinois have been mainly based on 5- to 10-foot contour data. Large-scale, digital topographic maps are most common; many data resources contain elevation information acquired in the 1920s and 1930s. DEM data collections are now being developed based on data with a contour resolution of 2 feet to 6 inches. A comparison between older data and newer high-resolution data shows remarkable improvement in recorded detail.
ILHMP has established data sharing agreements to archive and distribute elevation data for select Illinois counties. Data have been acquired using Light Detection And Ranging (LiDAR) technology, in compliance with different contract specifications. Data are offered as originally deliver LAS tile or as the derivative product of DEM/DTM or DSM.
Some helpful links:
*LiDAR Glossary from the Applied Geomatics Research Group http://agrg.cogs.nscc.ca/resources/lidar-glossary/
LAS file format Spec Version is ---- Version 1.2, November 2014 http://pubs.usgs.gov/tm/11b4/
Status:
Lidar Status for Illinois (pdf)
Illinois LiDAR Plan 2021 (pdf)
Illinois Lidar Acquisition By Year (pdf)


Data***New****  Download LiDAR Data thru our new Web Application Viewer.  The Viewer allows users to zoom into an area of interest and then simply select LAS tiles to download.  ***** 
Available LiDAR data for Illinois are listed below. These collections are organized by county and listed alphabetically with the year of collection listed first. If there is no year next to the county name, this collection is yet to be acquired. If the data is listed as “By Request” then this data is available by request only and a Help Request Form must be completed and submitted.
Note: ZIP files are large in size; some may take several hours to download. Make certain your Internet provider does not have a 2GB cap or time limit on file downloads. Some users have had success using a free downloadable compression and extraction software called ""7zip"", if you are experiences errors when extracting this data, please try using ""7zip"" to extract.  Submit a Help Request Form to receive any county by mail.

County Collections
Filter list by County or Year:  



 





County 

Year 

Status 

Metadata 

Tile Index 

Breaklines 

Derivatives 

LAS 

DGN 

DAT 

TIN 







            Adams          

2009 

            Available          

Metadata 

Tile Index 



Derivatives (23.8 GB) 

LAS (30.9 GB) 

DGN (27.4 GB) 

DAT (8.9 GB)
 

TIN (26.7 GB)
 





            Adams          

2018 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (120.0 GB) 

LAS (411.0 GB) 











            Alexander          

2009-2011 

            Available          

Metadata 

Tile Index 



Derivatives (5.3 GB) 

LAS (11.5 GB) 











            Bond          

2015 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (9.3 GB) 

LAS (32.1 GB) 

DGN (38.9 GB) 

DAT (12.4 GB)
 

TIN (34.6 GB)
 





            Boone          

2007 

            Available          

Metadata 

Tile Index 



Derivatives (4.2 GB) 

LAS (22.8 GB) 











            Boone          

2018 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (23.9 GB) 

LAS (81.5 GB) 











            Brown          

2017 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (20.2 GB) 

LAS (123.0 GB) 











            Bureau          

2015 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (41.3 GB) 

LAS (70.6 GB) 

DGN (95.4 GB) 

DAT (22.4 GB)
 

TIN (107.0 GB)
 





            Calhoun          

2011 

            Available          

Metadata 

Tile Index 



Derivatives (2.9 GB) 

LAS (9.4 GB) 











            Carroll          

2009 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (7.6 GB) 

LAS (28.3 GB) 

DGN (21.1 GB) 

DAT (6.2 GB)
 

TIN (30.4 GB)
 





            Cass          

2017 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (19.0 GB) 

LAS (37.1 GB) 











            Champaign          

2008 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (7.1 GB) 

LAS (26.6 GB) 











            Champaign          

2020 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (58.7 GB) 

LAS (117.0 GB) 











            Champaign          

2020 











LAS (106.0 GB) 











            Christian          

2015 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (39.0 GB) 

LAS (100.0 GB) 











            Clark          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (10.9 GB) 

LAS (17.5 GB) 

DGN (29.1 GB) 

DAT (8.6 GB)
 

TIN (42.6 GB)
 





            Clay          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (15.5 GB) 

LAS (17.0 GB) 

DGN (27.9 GB) 

DAT (8.2 GB)
 

TIN (41.0 GB)
 





            Clinton          

2015 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (13.0 GB) 

LAS (24.6 GB) 

DGN (38.2 GB) 

DAT (8.7 GB)
 

TIN (40.0 GB)
 





            Coles          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (8.6 GB) 

LAS (15.9 GB) 

DGN (22.6 GB) 

DAT (7.0 GB)
 

TIN (34.9 GB)
 





            Cook          

2017 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (119.0 GB) 

LAS (366.0 GB) 











            Cook          

2017 

            Available          









LAS (321.0 GB) 











            Cook          

2017 

            Available          









LAS (246.0 GB) 











            Cook          

2008 

            Contact County          





















            Crawford          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (10.1 GB) 

LAS (17.0 GB) 

DGN (26.4 GB) 

DAT (7.7 GB)
 

TIN (38.2 GB)
 





            Cumberland          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (7.6 GB) 

LAS (16.7 GB) 

DGN (20.1 GB) 

DAT (6.0 GB)
 

TIN (29.9 GB)
 





            DeKalb          

2009 

            Available          

Metadata 

Tile Index 



Derivatives (11.7 GB) 

LAS (23.3 GB) 











            DeKalb          

2018 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (27.7 GB) 

LAS (73.3 GB) 











            DeWitt          

2012 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (16.0 GB) 

LAS (27.6 GB) 

DGN (35.7 GB) 

DAT (10.1 GB)
 

TIN (54.4 GB)
 





            Douglas          

2012 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (15.2 GB) 

LAS (26.7 GB) 

DGN (40.7 GB) 

DAT (11.4 GB)
 

TIN (61.1 GB)
 





            DuPage          

2006 

            Available          

Metadata 

Tile Index 



Derivatives (3.0 GB) 

LAS (14.6 GB) 











            DuPage          

2014 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (37.3 GB) 

LAS (53.7 GB) 











            Edgar          

2012 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (23.9 GB) 

LAS (46.0 GB) 

DGN (62.4 GB) 

DAT (17.8 GB)
 

TIN (90.2 GB)
 





            Edwards          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (5.4 GB) 

LAS (13.8 GB) 

DGN (14.5 GB) 

DAT (4.3 GB)
 

TIN (21.3 GB)
 





            Effingham          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (10.3 GB) 

LAS (17.4 GB) 

DGN (28.8 GB) 

DAT (8.5 GB)
 

TIN (42.3 GB)
 





            Fayette          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (16.8 GB) 

LAS (25.9 GB) 

DGN (39.9 GB) 

DAT (12.4 GB)
 

TIN (62.0 GB)
 





            Ford          

2015 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (22.8 GB) 

LAS (36.6 GB) 

DGN (61.3 GB) 

DAT (14.9 GB)
 

TIN (63.8 GB)
 





            Franklin          

2014 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (13.9 GB) 

LAS (24.5 GB) 

DGN (23.5 GB) 

DAT (6.8 GB)
 

TIN (29.6 GB)
 





            Fulton          

2012 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (20.7 GB) 

LAS (35.5 GB) 

DGN (53.6 GB) 

DAT (15.2 GB)
 

TIN (74.1 GB)
 





            Gallatin          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (9.9 GB) 

LAS (11.9 GB) 











            Greene          

2017 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (28.5 GB) 

LAS (79.1 GB) 











            Grundy          

2008 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (2.4 GB) 

LAS (16.3 GB) 











            Grundy          

2018 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (18.5 GB) 

LAS (53.0 GB) 











            Hamilton          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (9.4 GB) 

LAS (16.7 GB) 











            Hancock          

2017 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (37.1 GB) 

LAS (70.4 GB) 











            Hardin          

2014 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (8.5 GB) 

LAS (36.6 GB) 



DAT (4.2 GB)
 

TIN (21.5 GB)
 





            Hardin          

2011 

            By Request          





















            Henderson          

2012 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (8.5 GB) 

LAS (17.1 GB) 

DGN (27.4 GB) 

DAT (7.5 GB)
 

TIN (36.6 GB)
 





            Henry          

2009 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (5.6 GB) 

LAS (26.7 GB) 

DGN (39.7 GB) 

DAT (11.2 GB)
 

TIN (55.3 GB)
 





            Iroquois          

2015 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (51.3 GB) 

LAS (87.6 GB) 

DGN (130.0 GB) 

DAT (31.0 GB)
 

TIN (136.0 GB)
 





            Jackson          

2014 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (16.6 GB) 

LAS (47.6 GB) 

DGN (38.6 GB) 

DAT (9.3 GB)
 

TIN (37.0 GB)
 





            Jasper          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (10.6 GB) 

LAS (16.7 GB) 

DGN (28.4 GB) 

DAT (8.4 GB)
 

TIN (41.8 GB)
 





            Jefferson          

2015 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (19.0 GB) 

LAS (29.7 GB) 

DGN (43.5 GB) 

DAT (9.8 GB)
 

TIN (43.2 GB)
 





            Jefferson          

2012 

            By Request          

Metadata 





Derivatives (6.2 GB) 













            Jersey          

2011 

            Available          

Metadata 

Tile Index 



Derivatives (3.9 GB) 

LAS (12.9 GB) 











            Jo Daviess          

2009 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (4.1 GB) 

LAS (40.1 GB) 

DGN (25.5 GB) 

DAT (5.3 GB)
 

TIN (28.5 GB)
 





            Johnson          

2012 

            Available          







Derivatives (11.8 GB) 

LAS (15.8 GB) 











            Kane          

2017 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (18.0 GB) 

LAS (413.0 GB) 











            Kane          

2008 

            Available          

Metadata 

Tile Index 



Derivatives (8.0 GB) 

LAS (13.6 GB) 











            Kankakee          

2014 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (44.7 GB) 

LAS (116.0 GB) 



DAT (1.1 GB)
 

TIN (125.0 GB)
 





            Kendall          

2018 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (13.5 GB) 

LAS (41.5 GB) 











            Kendall          

2010 

            Available          

Metadata 

Tile Index 



Derivatives (6.1 GB) 

LAS (10.0 GB) 











            Knox          

2012 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (24.4 GB) 

LAS (26.4 GB) 

DGN (46.2 GB) 

DAT (13.3 GB)
 

TIN (65.1 GB)
 





            Lake          

2017 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (10.0 GB) 

LAS (432.0 GB) 











            Lake          

2007 

            Available          

Metadata 

Tile Index 



Derivatives (13.1 GB) 

LAS (18.3 GB) 





TIN (26.9 GB)
 





            LaSalle          

2017 

            Available          









LAS (86.0 GB) 











            LaSalle          

2017 

            Available          









LAS (88.8 GB) 











            LaSalle          

2017 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (88.1 GB) 

LAS (87.9 GB) 











            Lawrence          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (8.5 GB) 

LAS (12.9 GB) 

DGN (19.6 GB) 

DAT (5.7 GB)
 

TIN (28.8 GB)
 





            Lee          

2009 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (13.8 GB) 

LAS (31.0 GB) 

DGN (31.5 GB) 

DAT (9.8 GB)
 

TIN (50.3 GB)
 





            Livingston          

2015 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (47.6 GB) 

LAS (81.6 GB) 

DGN (36.8 GB) 

DAT (36.8 GB)
 

TIN (142.0 GB)
 





            Logan          

2013 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (70.2 GB) 

LAS (114.0 GB) 











            Macon          

2011 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (9.0 GB) 

LAS (16.9 GB) 

DGN (26.0 GB) 

DAT (7.5 GB)
 

TIN (37.3 GB)
 





            Macoupin          

2017 

            Available          

Metadata 

Tile Index 

Breaklines 

Derivatives (43.0 GB) 

LAS (124.0 GB) 











