Title,Date,Publisher,Description,Metadata
"(u'Pennsylvania urban area boundary',)","(u'2017',)","(u'Pennsylvania Department of Transportation',)","(u'Urban area boundaries within Pennsylvania based on U.S Census Bureau maps.',)","(u'FullMetadataDisplay.aspx?file=PaUrbanAreas2017.xml',)"
"(u'Virginia Cropland Data Layer (CDL) - raster 1:100,000',)","(u'2002',)","(u'U S Department of Agriculture',)","(u'The USDA-NASS 2002 Virginia Cropland Data Layer (CDL) is a raster, geo-referenced, categorized land cover data layer produced using satellite imagery from the Thematic Mapper (TM) instrument on Landsat 5 and the Enhanced Thematic Mapper (ETM+) on Landsat 7. The imagery was collected between April 24, 2002 and September 12, 2002. The approximate scale is 1:100,000 with a ground resolution of 30 meters by 30 meters. The CDL emphasis is on agricultural land cover. The area of coverage is the entire State of Virginia.\r\n\r\n      This land cover dataset is part of a one-time series in which ten Mid-Atlantic States were categorized based on the extensive field observations collected during the 2002 annual NASS June Agricultural Survey. No farmer reported data is included or derivable from the Cropland Data Layer. The area of coverage for the 2002 Mid-Atlantic CDL includes the entire states of Connecticut, Delaware, Maryland, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Virginia and West Virginia. The funding for this project was shared between the USDA-NASS and Towson State University.\r\n\r\n      The 2002 Mid-Atlantic CDL is currently a special one-time project. However, the possibility does exist to establish an annual cropland data layer for any state that shows significant interest and can offer an in-state cooperative agreement with another federal, state, local, or university agency or group. If interested, please contact the Section Head of the USDA-NASS Spatial Analysis Research Section at 703/877-8000.\r\n\r\n      There are several additional Mid-Western States for which Cropland Data Layers are produced on an annual basis. The website below provides information and examples of all publicly available Cropland Data Layers:  http://www.nass.usda.gov/research/Cropland/SARS1a.htm',)","(u'FullMetadataDisplay.aspx?file=va02nass.xml',)"
"(u'Centre County Natural Heritage Inventory (scanned TIFFs)',)","(u'1991',)","(u'Natural Heritage Inventory',)","(u'The Centre County Natural Heritage Inventory is designed to identify and map important biotic (living) and ecological resources present in Centre County. This information helps county, state, and municipal government, the public, and business interests plan development with the preservation of these environmentally important sites in mind.',)","(u'FullMetadataDisplay.aspx?file=nhicentrecounty1991.xml',)"
"(u'National Land Cover Dataset 1992 - Pennsylvania; Unprojected/Geographic',)","(u'1999',)","(u'U S Geological Survey',)","(u'These data can be used in a geographic',)","(u'FullMetadataDisplay.aspx?file=nlcd_pa_tiff_dd.xml',)"
"(u'Delaware River Basin sub-basins',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'sub-basins within the Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_sb_polygon.xml',)"
"(u'Chesapeake Bay Watershed Land Cover Data Series 2001',)","(u'2001',)","(u'U S Geological Survey',)","(u""To better understand how the land is changing and to relate those changes to water quality trends, the USGS funded the production of a Chesapeake Bay Watershed Land Cover Data Series (CBLCD) representing four dates: 1984, 1992, 2001, and 2006. These data were produced by MDA Federal Inc., under contract to the USGS and were derived from Landsat 5 Thematic Mapper and Landsat 7 Enhanced Thematic Mapper satellite imagery. Each of the four datasets consists of 16 land use and land cover classes (Anderson, et al., 1976).  The datasets are temporally comparable and encompass the entire Chesapeake Bay watershed and most intersecting counties.  \r\n\r\nThe 2001 dataset represents the base layer for the Data Series and is composed of NOAA's 2001 Coastal Change Analysis Program (CCAP) dataset in the coastal and northern portion of the watershed coupled with USGS' 2001 National Land Cover Dataset in the western and southwestern portions of the watershed.  MDA Federal's Cross Correlation Analysis (CCA) technique was used to produce updates (yr. 2006) and retrospective updates (yrs. 1984 and 1992) to the base layer. CCA identifies significant spectral changes between image pairs within the range of spectral values for each land cover class identified in the 2001 base layer.  MDA Federal used Classification and Regression Trees to assign land cover classes to 1984, 1992, and 2006 pixels exhibiting significant deviations from their 2001 expected spectral values.  MDA Federal used these methods to develop the 1996 and 2005 land cover change datasets for the Mid-Atlantic coastal area funded by NOAA CCAP. \r\n\r\nLand use and land cover interpretations derived from Landsat satellite imagery are based on the sun's reflectance off the land surface, e.g., urban areas have different spectral reflectance characteristics than forests and herbaceous vegetation.  For this reason, the data most accurately represent land cover (e.g., tree canopy) compared with land use or management (e.g., forests and pasture).  Due to similarities in spectral reflectance characteristics, some land use and land cover classes are easily confused with each other. The spectral characteristics of low density residential areas, for example, may closely resemble the characteristics of forests in a neighborhood with mature trees or of cropland or pasture if large residential lots are composed mostly of lawns. Cropland and pasture may also have similar spectral qualities. Therefore, users should be cautioned against evaluating transitions between cropland and pasture based on the CBLCD. Users should be generally confident, however, that the overall spatial patterns of cropland and pasture in the Bay watershed are accurate because the USGS and NOAA used multi-season imagery to create the 2001 base layer and the data compare favorably with county-level cropland and pasture acreage estimates reported in the 2002 U.S. Census of Agriculture.  \r\n\r\nThe USGS is in the process of interpreting and publishing statistics on the extent, type, and patterns of land cover change from 1984-2006 in the Bay watershed, major tributaries, and counties. The USGS will also be publishing land change forecasts based on observed trends in the CBLCD. These additional interpretations, statistics, and datasets will be publicly released over the coming year following publication."",)","(u'FullMetadataDisplay.aspx?file=CBWLCD_2001.xml',)"
"(u'Income and Employment, 1989-1990',)","(u'2006',)","(u'U S Department of Commerce',)","(u""This map layer portrays 1989 and 1990 estimates for total personal\r\nincome, per capita personal income, annual number of full-time and part-\r\ntime jobs, average wage per job in dollars, population, and per capita\r\nnumber of jobs, for counties in the United States.\r\n\r\nTotal personal income is all the income that is received by, or on behalf\r\nof, the residents of a particular area.  It is calculated as the sum of\r\nwage and salary disbursements, other labor income, proprietors' income\r\nwith inventory valuation and capital consumption adjustments, rental\r\nincome of persons with capital consumption adjustment, personal dividend\r\nincome, personal interest income, and transfer payments to persons, minus\r\npersonal contributions for social insurance.\r\n\r\nPer capita personal income is calculated as the total personal income of\r\nthe residents of a county divided by the resident population of the\r\ncounty.  The Census Bureau's annual midyear population estimates were used\r\nin the computation.\r\n\r\nThe average annual number of full-time and part-time jobs includes all\r\njobs for which wages and salaries are paid, except jury and witness\r\nservice and paid employment of prisoners.  The jobs are counted at equal\r\nweight, and employees, sole proprietors, and active partners are all\r\nincluded.  Unpaid family workers and volunteers are not included.\r\n\r\nAverage wage per job is the wage and salary disbursements divided by the\r\nnumber of wage and salary jobs in the county.  Wage and salary\r\ndisbursements consist of the monetary remuneration of employees, including\r\nthe compensation of corporate officers; commissions, tips, and bonuses;\r\nand receipts in kind, or pay-in-kind, such as the meals furnished to the\r\nemployees of restaurants.  It reflects the amount of payments disbursed,\r\nbut not necessarily earned during the year.\r\n\r\nPer capita number of jobs is calculated as the average annual number of\r\nfull-time and part-time jobs in a county divided by the resident\r\npopulation of the county.  The Census Bureau's annual midyear population\r\nestimates were used in the computation.\r\n\r\nAll dollar estimates are in current dollars, not adjusted for inflation.\r\nThe information in this map layer comes from the Regional Economic\r\nInformation System (REIS) that is distributed by the Bureau of Economic\r\nAnalysis, http://www.bea.gov/.\r\n\r\nThis is an updated version of the November 2004 map layer."",)","(u'FullMetadataDisplay.aspx?file=IncomeEmployment1989_1990.xml',)"
"(u'TIGER/Line Shapefile, 2009, 2000 state, Pennsylvania, Census 2000 Place',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaEconomicCensusPlace2000.xml',)"
"(u'United States Concise - Geographic Names Information System (GNIS)',)","(u'2009',)","(u'U S Geological Survey',)","(u""The Geographic Names Information System (GNIS), developed by the U.S. Geological Survey in cooperation with the U.S. Board on Geographic Names (BGN), contains information about physical and cultural geographic features in the United States and associated areas, both current and historical, but not including roads and highways. The database also contains geographic names in Antarctica. The database holds the Federally recognized name of each feature and defines the location of the feature by state, county, USGS topographic map, and geographic coordinates. Other feature attributes include names or spellings other than the official name, feature designations, feature class, historical and descriptive information, and for some categories of features the geometric boundaries. The database assigns a unique feature identifier, a random number, that is a key for accessing, integrating, or reconciling GNIS data with other data sets. The GNIS is our Nation's official repository of domestic geographic feature names information."",)","(u'FullMetadataDisplay.aspx?file=GNIS_USConcise2009.xml',)"
"(u'Pennsylvania Cropland Data Layer (CDL) - raster 1:100,000',)","(u'2002',)","(u'U S Department of Agriculture',)","(u'The USDA-NASS 2002 Pennsylvania Cropland Data Layer (CDL) is a raster, geo-referenced, categorized land cover data layer produced using satellite imagery from the Thematic Mapper (TM) instrument on Landsat 5 and the Enhanced Thematic Mapper (ETM+) on Landsat 7. The imagery was collected between April 24, 2002 and September 12, 2002. The approximate scale is 1:100,000 with a ground resolution of 30 meters by 30 meters. The CDL emphasis is on agricultural land cover. The area of coverage is the entire State of Pennsylvania.\r\n\r\n      This land cover dataset is part of a one-time series in which ten Mid-Atlantic States were categorized based on the extensive field observations collected during the 2002 annual NASS June Agricultural Survey. No farmer reported data is included or derivable from the Cropland Data Layer. The area of coverage for the 2002 Mid-Atlantic CDL includes the entire states of Connecticut, Delaware, Maryland, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, Virginia and West Virginia. The funding for this project was shared between the USDA-NASS and Towson State University.\r\n\r\n      The 2002 Mid-Atlantic CDL is currently a special one-time project. However, the possibility does exist to establish an annual cropland data layer for any state that shows significant interest and can offer an in-state cooperative agreement with another federal, state, local, or university agency or group. If interested, please contact the Section Head of the USDA-NASS Spatial Analysis Research Section at 703/877-8000.\r\n\r\n      There are several additional Mid-Western States for which Cropland Data Layers are produced on an annual basis. The website below provides information and examples of all publicly available Cropland Data Layers:  http://www.nass.usda.gov/research/Cropland/SARS1a.htm',)","(u'FullMetadataDisplay.aspx?file=pa_crops2006.xml',)"
"(u'National Land Cover Database 2001 - Imperviousness Layer - Western Pennsylvania and Ohio',)","(u'2003',)","(u'U S Geological Survey',)","(u'The National Land Cover Database 2001 tree canopy layer for mapping zone 47 was produced through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium.  The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS).  One of the primary goals of the project is to generate a current, consistent, seamless, and accurate National Land cover Database (NLCD) circa 2001 for the United States at medium spatial resolution.  For a detailed definition and discussion on MRLC and the NLCD 2001 products, refer to Homer et al. (2003) and http://www.mrlc.gov/mrlc2k.asp.\r\n\r\nThe NLCD 2001 was created by partitioning the U.S. into mapping zones.  A total of 66 mapping zones were delineated within the conterminous U.S. based on ecoregion and geographical characteristics, edge matching features and the size requirement of Landsat mosaics.  Mapping zone 47 encompasses whole or portions of several states including the states of Kentucky, Indiana, Ohio, Tennessee, and Missouri. Questions about the NLCD mapping zone 47 can be directed to the NLCD 2001 land cover mapping team at the National Center, EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.',)","(u'FullMetadataDisplay.aspx?file=impervious11_westernpa_ohio_010407.xml',)"
"(u'Delaware River Basin major cities',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'major cities and towns within Delaware River Basin',)","(u'FullMetadataDisplay.aspx?file=drb_citytown_point.xml',)"
"(u'Lower Susquehanna Subbasin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u'Polygon shapefile of the Lower Susquehanna Subbasin.  This file was created from the 2006 subbasin.shp SRBC dataset.',)","(u'FullMetadataDisplay.aspx?file=sub_lowr_SRBC.xml',)"
"(u'Portable Xray',)","(u'2016',)","(u'Pennsylvania Department of Health',)","(u'The PA_Portable_X_Ray_2016 layer contains the latitude and longitude coordinates of 15 portable X-ray centers in Pennsylvania. When possible, efforts were made to confirm the rooftop location of each portable X-ray center. The accuracy of geocoding is available in Geocoding Certainty attribute field (Geocoding Certainty: Rooftop=""00"", Street=""01"", Zip Centroid=""04"", Not geocoded=""99""). Latitude and longitude fields are recorded in the WGS 1984 coordinate system.Last updated: 11/09/2016Contact Us: Pennsylvania Department of HealthDivision of Health InformaticsRA-DHICONTACTUS@pa.gov717-782-2448',)","(u'FullMetadataDisplay.aspx?file=DOH_PortableXray2016.xml',)"
"(u'Delaware River Basin county boundaries - clipped',)","(u'2004',)","(u'Delaware River Basin Commission DRBC',)","(u'County boundaries clipped to the Delaware River Basin.',)","(u'FullMetadataDisplay.aspx?file=drb_co_clip.xml',)"
"(u'United States Populated Places - Geographic Names Information System (GNIS)',)","(u'2009',)","(u'U S Geological Survey',)","(u""The Geographic Names Information System (GNIS), developed by the U.S. Geological Survey in cooperation with the U.S. Board on Geographic Names (BGN), contains information about physical and cultural geographic features in the United States and associated areas, both current and historical, but not including roads and highways. The database also contains geographic names in Antarctica. The database holds the Federally recognized name of each feature and defines the location of the feature by state, county, USGS topographic map, and geographic coordinates. Other feature attributes include names or spellings other than the official name, feature designations, feature class, historical and descriptive information, and for some categories of features the geometric boundaries. The database assigns a unique feature identifier, a random number, that is a key for accessing, integrating, or reconciling GNIS data with other data sets. The GNIS is our Nation's official repository of domestic geographic feature names information."",)","(u'FullMetadataDisplay.aspx?file=GNIS_PopPlaces2009.xml',)"
"(u'TIGER/Line Shapefile, 2009, state, Pennsylvania, Congressional Districts',)","(u'2009',)","(u'U S Census Bureau',)","(u'The TIGER/Line Shapefiles are an extract of selected geographic and cartographic information from the Census MAF/TIGER database.  The Census MAF/TIGER database represents a seamless national file with no overlaps or gaps between parts.  However, each TIGER/Line Shapefile is designed to stand alone as an independent data set or the shapefiles can be combined to cover the whole nation.',)","(u'FullMetadataDisplay.aspx?file=tl_PennsylvaniaCongressionalDistricts2009.xml',)"
"(u'NLT - Schuylkill Action Network - Land Prioritization Strategy Model (GIS Data and Maps)',)","(u'2007',)","(u'Natural Lands Trust',)","(u'Natural Lands Trust works proactively to protect the natural heritage of the Philadelphia region for today and generations to come. This file contains various\r\nlayers and maps for Schuylkill Action Network - Land Prioritization Strategy Model Included maps are:\r\nComposite Resource Protection Prioritization, Composite Resource Protection Prioritization 3 color, DVRPC Future Development Year 2020-2030, Future Development on High Priority CRP Areas, NLT SC Conservation Resource Prioritization, PWD Source Water Model.\r\nAlso included are the GIS data layers that support these maps.',)","(u'FullMetadataDisplay.aspx?file=NLT_metadata04012007.xml',)"
"(u'PFBC Properties',)","(u'2017',)","(u'Pennsylvania Fish and Boat Commission',)","(u'The Pennsylvania Fish and Boat Commission owns numerous properties across Pennsylvania.  This GIS layer contains point locations on each property',)","(u'FullMetadataDisplay.aspx?file=PFBC_Properties201704.xml',)"
"(u'Captive Hazardous Waste Operation',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Captive Hazardous Waste Operation is a DEP primary facility type related to the Waste Management Hazardous Waste Program. The sub-facility types related to Captive Hazardous Waste Operations that are included in eMapPA are: Boiler/Industrial Furnace, Disposal Facility, Hazardous Generator, Incinerator, Recycling Facility, Storage Facility, and Treatment Facility. Captive Hazardous Waste Operation Sub-Facility Types\r\nBoiler or Industrial Furnace:\r\n\r\nFacility permitted by DEP to burn or process hazardous waste generated onsite, to recover thermal energy, or to accomplish recovery of materials in association with a manufacturing process.\r\n\r\nDisposal Facility:\r\n\r\nFacility permitted by DEP to dispose of hazardous waste generated onsite by incineration, or by intentionally placing the waste in or on land or water in specially designed and constructed containment units where the waste will remain after closure of the facility.\r\n\r\nHazardous Generator:\r\n\r\nA site where hazardous waste is first produced. The hazardous waste may be accumulated onsite at this facility for a prescribed limited amount of time (usually between 90 and 270 days) without first obtaining a storage permit from the Department, as long as it is done in accordance with prescribed standards.\r\n\r\nIncinerator:\r\n\r\nFacility permitted by DEP to burn or thermally combust hazardous waste generated onsite in an enclosed device using controlled flame. Devices meeting the criteria for classification as a boiler, industrial furnace, carbon regeneration unit, or sludge dryer are not incinerators.\r\n\r\nRecycling Facility:\r\n\r\nFacility permitted by DEP to treat hazardous waste generated onsite, making it suitable for upcoming recovery of a usable product or material.\r\n\r\nStorage Facility:\r\n\r\nFacility permitted by DEP to hold hazardous waste generated onsite for a temporary period (not to exceed one year). At the end of that period the hazardous waste is treated, disposed of, or stored elsewhere. Facilities accumulating hazardous wastes generated onsite in accordance with prescribed generator accumulation standards for a prescribed limited amount of time (usually between 90 and 270 days) are NOT storage facilities.\r\n\r\nTreatment Facility:\r\n\r\nFacility permitted by DEP to change the physical, chemical or biological character or composition of hazardous waste that is generated onsite. The purpose is to neutralize the waste or to render the waste non-hazardous, safer for transport, suitable for recovery, suitable for storage, or reduced in volume.',)","(u'FullMetadataDisplay.aspx?file=CaptiveHazardousWasteOperations2018_01.xml',)"
"(u'30-Year Precipitation dataset (1971-2000) for the Susquehanna River Basin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u'30 Year Precipitation dataset (1971-2000) for the Susquehanna River Basin (2006 boundary).  This dataset was created from a precipitation raster from the Spatial Climate Analysis Service, Oregon State University.  Please use the GRIDCODE field for precipitation in inches.  The correct conversion appears in the Entity and Attribute; Overview Description section of this document.',)","(u'FullMetadataDisplay.aspx?file=Precip_SRBC.xml',)"
"(u'Storage Tank Locations - Active',)","(u'2018',)","(u'Pennsylvania Department of Environmental Protection',)","(u'A Storage Tank Location is a DEP primary facility type, and its sole sub-facility is the storage tank itself. Storage tanks are aboveground or underground, and are regulated under Chapter 245 pursuant to the Storage Tank and Spill Prevention Act. Storage tanks currently contain, have contained in the past, or will contain in the future, petroleum or a regulated hazardous substance.\r\n\r\nAbove ground storage tanks that either contain hazardous materials or have a capacity greater than 21000 are removed.',)","(u'FullMetadataDisplay.aspx?file=StorageTankLocations_Active2018_02.xml',)"
"(u'Ecoregions of Pennsylvania Level III',)","(u'2010',)","(u'U S Environmental Protection Agency',)","(u'Ecoregions by state were extracted from the seamless national shapefile.  Ecoregions denote areas of general similarity in ecosystems and in the type, quality, and quantity of environmental resources. They are designed to serve as a spatial framework for the research, assessment, management, and monitoring of ecosystems and ecosystem components. These general purpose regions are critical for structuring and implementing ecosystem management strategies across federal agencies, state agencies, and nongovernment organizations that are responsible for different types of resources within the same geographical areas. The approach used to compile this map is based on the premise that ecological regions can be identified through the analysis of patterns of biotic and abiotic phenomena, including geology, physiography, vegetation, climate, soils, land use, wildlife, and hydrology. The relative importance of each characteristic varies from one ecological region to another. A Roman numeral hierarchical scheme has been adopted for different levels for ecological regions. Level I is the coarsest level, dividing North America into 15 ecological regions. Level II divides the continent into 52 regions (Commission for Environmental Cooperation Working Group, 1997). At Level III, the continental United States contains 104 regions whereas the conterminous United States has 84 (U.S. Environmental Protection Agency, 2005). Level IV ecoregions are further subdivisions of Level III ecoregions. Methods used to define the ecoregions are explained in Omernik (1995, 2004), Omernik and others (2000), and Gallant and others (1989).',)","(u'FullMetadataDisplay.aspx?file=PennsylvaniaEcoregions_LvL3_2010.xml',)"
"(u'Pennsylvania State Gamelands',)","(u'2017',)","(u'Pennsylvania Game Commission',)","(u'Defines the individual boundaries of the Pennsylvania State Game Lands for the Management of public resources.',)","(u'FullMetadataDisplay.aspx?file=PGC_StateGameland2017.xml',)"
"(u'PAMAP Program - Hydrography (Polygon)',)","(u'2007',)","(u'DCNR PAMAP Program',)","(u'This dataset consists of hydrography (waterbodies) aggregated by the PAMAP Program from data supplied by various Pennsylvania county governments.  Additional information is available at the PAMAP website: www.dcnr.state.pa.us/topogeo/pamap.',)","(u'FullMetadataDisplay.aspx?file=PAMAP_HydrographyPoly2007.xml',)"
"(u'Upper Susquehanna Subbasin',)","(u'2006',)","(u'Susquehanna River Basin Commission SRBC',)","(u'Polygon shapefile of the Upper Susquehanna Subbasin.  This file was created from the 2006 subbasin.shp SRBC dataset.',)","(u'FullMetadataDisplay.aspx?file=sub_uppr_SRBC.xml',)"
"(u'Income and Employment, 1988',)","(u'2006',)","(u'U S Department of Commerce',)","(u""This map layer portrays 1988 estimates for total personal income, per\r\ncapita personal income, annual number of full-time and part-time jobs,\r\naverage wage per job in dollars, population, and per capita number of\r\njobs, for counties in the United States.\r\n\r\nTotal personal income is all the income that is received by, or on behalf\r\nof, the residents of a particular area.  It is calculated as the sum of\r\nwage and salary disbursements, other labor income, proprietors' income\r\nwith inventory valuation and capital consumption adjustments, rental\r\nincome of persons with capital consumption adjustment, personal dividend\r\nincome, personal interest income, and transfer payments to persons, less\r\npersonal contributions for social insurance.\r\n\r\nPer capita personal income is calculated as the total personal income of\r\nthe residents of a county divided by the resident population of the\r\ncounty.  The Census Bureau's annual midyear population estimates were used\r\nin the computation.\r\n\r\nThe average annual number of full-time and part-time jobs includes all\r\njobs for which wages and salaries are paid, except jury and witness\r\nservice and paid employment of prisoners.  The jobs are counted at equal\r\nweight, and employees, sole proprietors, and active partners are all\r\nincluded.  Unpaid family workers and volunteers are not included.\r\n\r\nAverage wage per job is the wage and salary disbursements divided by the\r\nnumber of wage and salary jobs in the county.  Wage and salary\r\ndisbursements consist of the monetary remuneration of employees, including\r\nthe compensation of corporate officers; commissions, tips, and bonuses;\r\nand receipts in kind, or pay-in-kind, such as the meals furnished to the\r\nemployees of restaurants.  It reflects the amount of payments disbursed,\r\nbut not necessarily earned during the year.\r\n\r\nPer capita number of jobs is calculated as the average annual number of\r\nfull-time and part-time jobs in a county divided by the resident\r\npopulation of the county.  The Census Bureau's annual midyear population\r\nestimates were used in the computation.\r\n\r\nAll dollar estimates are in current dollars, not adjusted for inflation.\r\nThe information in this map layer comes from the Regional Economic\r\nInformation System (REIS) that is distributed by the Bureau of Economic\r\nAnalysis, http://www.bea.gov/.\r\n\r\nThis is an updated version of the November 2004 map layer"",)","(u'FullMetadataDisplay.aspx?file=IncomeEmployment1988.xml',)"
